attending_school,case_no,casetype,dcps_school_against,home_school
Burrvi lle Elementary School,2012-0577,Aga inst LEA,Burrvil le Elementary Schoo l,Bunker Hill Eleme nta ry School
Burrvi lle Elementary School,2012-0577,Aga inst LEA,Burrvil le Element ary School,Bunker Hill Eleme nta ry School
Mon roe School,2012-0578,Aga inst LEA,Burrvil le Elementary Schoo l,Bunker Hill Eleme nta ry School
Kingsb ury Day School,2012-0571,Aga inst LEA,Burrvil le Elementary Schoo l,Takoma Educational Center
Kingsb ury Day School,2012-0571,Aga inst LEA,Prospect LC,Takoma Educational Center
Prospect LC,2012-0572,Aga inst LEA,Prospect LC,Takoma Educational Center
Prospect LC,2012-0572,Aga inst LEA,Kelly M iller MS,Takoma Educational Center
Kelly M il ler MS,2012-0574,Aga inst LEA,Kelly M iller MS,Kelly Miller MS
Kelly M il ler MS,2012-0574,Aga inst LEA,Kelly M iller M S,Kelly Miller MS
Kelly M il ler MS,2012-0574,Aga inst LEA,Ronald H. Bro wn MS,Kelly Miller MS
Ronal d H. Brow n MS,2012-0581,Aga inst LEA,Ronald H. Bro wn MS,Kelly Miller MS
Ronal d H. Brow n MS,2012-0581,Aga inst LEA,Ronald H. Brown MS,Kelly Miller MS
Ronal d H. Brow n MS,2012-0581,Aga inst LEA,Spingarn Senio r High Schoo l,Kelly Miller MS
Spingarn Senior High Schoo l,2012-0583,Against LEA,Spingarn Senio r High Schoo l,Spingarn Senior High School
Spingarn Senior High Schoo l,2012-0583,Against LEA,Spinga rn Senior High School,Spingarn Senior High School
Commonwea lth Academy,2012-0584,Aga inst LEA,Spinga rn Senior High School,Rooseve lt High School
Commonwea lth Academy,2012-0584,Aga inst LEA,Childrens Guild • Balti mor e,Rooseve lt High School
"Children, Guild - Balt imor e",2012-0580,Aga inst LEA,Childrens Guild - Balt imore,Rooseve lt High School
"Children, Guild - Balt imor e",2012-0580,Aga inst LEA,Childre ns Guild - Balti more,Rooseve lt High School
"Children, Guild - Balt imor e",2012-0580,Aga inst LEA,Prospect LC,Rooseve lt High School
Prospect LC,2012-0582,Aga inst LEA,Prospect LC,Rooseve lt High School
Prospect LC,2012-0582,Aga inst LEA,Cardozo High School,Rooseve lt High School
Cardozo High Schoo l,2012-0587,Aga inst LEA,Cardozo High School,Cardozo High School
Cardozo High Schoo l,2012-0587,Aga inst LEA,Ballou Senior High School,Cardozo High School
Ballou Senior High Schoo l,2012-0585,Aga inst LEA,Ballou Senior High School,Ballou Senior High Schoo l
Ballou Senior High Schoo l,2012-0585,Aga inst LEA,Ballou Senior High Schoo l,Ballou Senior High Schoo l
New Beginnings Vocat ional School,2012-0586,Aga inst LEA,Ballou Senior High Schoo l,Ballou Senior High Schoo l
Center City PCS,2012-0588,Against LEA,Ballou Senior High Schoo l,Ballou Senior High Schoo l
McLean School,2012-0589,Against LEA,Ballou Senior High Schoo l,Wi lson Senio r High Schoo l
McLean School,2012-0589,Against LEA,Mam ie D. lee School,Wi lson Senio r High Schoo l
Mam ie D. Lee Schoo l,2012-0591,Aga inst LEA,Ma mie D. lee School,Ballou Senior High Schoo l
Mam ie D. Lee Schoo l,2012-0591,Aga inst LEA,Mam ie D. Lee School,Ballou Senior High Schoo l
Chelsea School,2012-0592,Against LEA,Mam ie D. Lee School,Anacost ia Senior High School
..,2012-0592,Against LEA,Mam ie D. Lee School,Anacost ia Senior High School
..,2012-0592,Against LEA,Accotink Academy,Anacost ia Senior High School
Accot ink Acade my,2012-0598,Aga inst LEA,Accotink Academy,Kramer M idd le School
Accot ink Acade my,2012-0598,Aga inst LEA,Eastern High School,Kramer M idd le School
Eastern High Schoo l,2012-0596,Against LEA,Eastern High School,Kramer M idd le School
Phill ips School,2012-0594,Aga inst LEA,Eastern High School,Roosevel t High School
Paul PCS,2012-0593,Aga inst LEA,Eastern High School,Kelly Mille r MS
Paul PCS,2012-0593,Aga inst LEA,Lab Schoo l of Wash ington,Kelly Mille r MS
Paul PCS,2012-0593,Aga inst LEA,Lab School of Wash ington,Kelly Mille r MS
Lab School of Was hington,2012-0597,Against LEA,Lab School of Wash ington,Lafayet te Elemen tary Schoo l
Lab School of Was hington,2012-0597,Against LEA,Lab Schoo l of Wash ington,Lafayet te Elemen tary Schoo l
Lab School of Was hington,2012-0597,Against LEA,Roosevelt High School,Lafayet te Elemen tary Schoo l
Advance,2012-0595,Aga inst LEA,Roosevelt High School,Roosevel t High School
Mon roe School,2012-0599,Aga inst LEA,Roosevelt High School,Roosevel t High School
Mon roe School,2012-0599,Aga inst LEA,McKinley Tech nology High,Roosevel t High School
Mc Kin ley Technology,2012-0600,Aga inst LEA,McKinley Tech nology High,Kelly M iller MS
Village Acade my,2012-0601,Aga inst LEA,Village Acade my,Kelly M iller MS
Village Acade my,2012-0601,Aga inst LEA,Mo nroe Schoo l,Kelly M iller MS
Village Acade my,2012-0601,Aga inst LEA,Mo nroe School,Kelly M iller MS
Monroe,2012-0606,Aga inst LEA,Mo nroe Schoo l,Kelly M iller MS
Monroe,2012-0606,Aga inst LEA,Mo nroe School,Kelly M iller MS
Monroe,2012-0606,Aga inst LEA,Build ing for the Future,Kelly M iller MS
Bui ldi ng for the Future,2012--0607,Aga inst LEA,Build ing for the Future,Spingarn Senior High School
Bui ldi ng for the Future,2012--0607,Aga inst LEA,McKinley Technology High,Spingarn Senior High School
McKin ley Technolo gy High,2012--0608,Aga inst LEA,McKinley Technology High,Dunbar High School
McKin ley Technolo gy High,2012--0608,Aga inst LEA,Ballou Senior High School,Dunbar High School
Ballou Senio r High Schoo l,2012--0603,Aga inst LEA,Ballou Senior High School,Dunbar High School
Ballou Senio r High Schoo l,2012--0609,Aga inst LEA,Ballou Senior High Schoo l,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2012--0609,Aga inst LEA,Spingarn Senio r High School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2012--0609,Aga inst LEA,Spingarn Senior High School,Ballou Senior High Schoo l
Spingarn Senior High Schoo l,2012--0605,Aga inst LEA,Spingarn Senior High School,Spingarn Senior High School
Spingarn Senior High Schoo l,2012--0605,Aga inst LEA,Spingarn Senio r High School,Spingarn Senior High School
Spingarn Senior High Schoo l,2012--0605,Aga inst LEA,Spingarn Senio r High Schoo l,Spingarn Senior High School
Spingarn Senior High Schoo l,2012--0604,Aga inst LEA,Spingarn Senio r High Schoo l,Spingarn Senior High School
Spingarn Senior High Schoo l,2012--0604,Aga inst LEA,Spingarn Senior High School,Spingarn Senior High School
High Road PG,2012--0611,Aga inst LEA,High Road PG,Anacost ia Senior High Schoo l
High Road PG,2012--0611,Aga inst LEA,Build ing for the Future,Anacost ia Senior High Schoo l
Bui ldi ng for the Future,2012--0610,Against LEA,Build ing for the Future,Spingarn Senior High School
Kennedy Institute,2012--0613,Aga inst LEA,Kennedy Inst itu te,Spingarn Senior High School
Kennedy Institute,2012--0613,Aga inst LEA,Hart M iddle School,Spingarn Senior High School
Hart M iddle Schoo l,2012--0614,Aga inst LEA,Hart M iddle School,Spingarn Senior High School
OTHER,2012--0612,Aga inst LEA,Hart M iddle School,Spingarn Senior High School
OTHER,2012--0612,Aga inst LEA,Accotink Academy,Spingarn Senior High School
Accot ink Academy,2012--0602,Aga inst LEA,Accotink Academy,Dunbar High School
Accot ink Academy,2012--0602,Aga inst LEA,Accotink Academy,"'-VIU ll l U ICI 1 1,;;;1511 \ ~ ._..., 1,1,._Cll l V"
Lab Schoo l of Was hingto n,2012--0615,Aga inst LEA,Columb ia Heights Educat ion Center High School,"'-VIU ll l U ICI 1 1,;;;1511 \ ~ ._..., 1,1,._Cll l V"
Parkmou nt School,2012--0618,Aga inst LEA,Deal Mid dle School,Deal M idd le School
Parkmou nt School,2012--0618,Aga inst LEA,Oyste r Adams Bilingua l,Deal M idd le School
Oyste r Adams Bilingual,2012--0617,Aga inst LEA,Oyste r Adams Bilingua l,Deal M idd le School
Oyste r Adams Bilingual,2012--0617,Aga inst LEA,Oyste r Adams Bi lingua l,Deal M idd le School
Oyste r Adams Bilingual,2012--0617,Aga inst LEA,Oyster Adams Bilingua l,Deal M idd le School
..,.. .,Aga inst LEA,Oyster Adams Bilingua l,Deal M idd le School
..,.. .,Expedit ed NON,Eastern High School,Deal M idd le School
Eastern High Schoo l,2012-0619,Expedit ed NON,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2012-0619,Discipline,Eastern High School,Eastern High Schoo l
Paul PCS,2012-0624,Aga inst LEA,Eastern High School,Lincoln M iddle Schoo l
Paul PCS,2012-0624,Aga inst LEA,Dunba r High School,Lincoln M iddle Schoo l
Dunbar High School,2012-0620,Aga inst LEA,Dunba r High School,Lincoln M iddle Schoo l
Dunbar High School,2012-0620,Aga inst LEA,Dunbar High Schoo l,Lincoln M iddle Schoo l
OTHER,2012-0625,Aga inst LEA,Other,Lincoln M iddle Schoo l
OTHER,2012-0625,Aga inst LEA,Aiton Elementar y School,Lincoln M iddle Schoo l
Aiton Eleme ntary School,2012-0621,Aga inst LEA,Aiton Elementary School,Lincoln M iddle Schoo l
Aiton Eleme ntary School,2012-0621,Aga inst LEA,Aiton Elementary Schoo l,Lincoln M iddle Schoo l
OTHER,2012-0623,Aga inst LEA,Build ing for the Future,Lincoln M iddle Schoo l
OTHER,2012-0623,Aga inst LEA,H.D. Woodson Senior High School,Lincoln M iddle Schoo l
H.D. Woodson Sen ior High Schoo l,2012-0628,Aga inst LEA,H.D. Woodson Senior High School,Lincoln M iddle Schoo l
H.D. Woodson Sen ior High Schoo l,2012-0628,Aga inst LEA,H.0. Woodson Senior High School,Lincoln M iddle Schoo l
H.D. Woodson Sen ior High Schoo l,2012-0628,Aga inst LEA,Ferebee-Hope Eleme nt ary School,Lincoln M iddle Schoo l
Ferebee -Hope Elemen tary Schoo l,2012-0629,Aga inst LEA,Ferebee-Hope Eleme nt ary School,Lincoln M iddle Schoo l
Ferebee -Hope Elemen tary Schoo l,2012-0629,Aga inst LEA,Ferebee -Hope Eleme nta ry School,Lincoln M iddle Schoo l
Ferebee -Hope Elemen tary Schoo l,2012-0629,Aga inst LEA,H.D. Woodson Senior High School,Lincoln M iddle Schoo l
H.D. Woodson Sen ior High Schoo l,2012-0626,Aga inst LEA,H.D. Woodson Senior High School,Lincoln M iddle Schoo l
H.D. Woodson Sen ior High Schoo l,2012-0626,Aga inst LEA,H.0. Woodson Senior High School,Lincoln M iddle Schoo l
Booker T. Wash ington,2012-0627,Expedite d Discipline,H.0. Woodson Senior High School,Eastern High Schoo l
Booker T. Wash ington,2012-0627,Expedite d Discipline,Brightwoo d EC,Eastern High Schoo l
Brightwood,2012-0622,Aga inst LEA,Brightwoo d EC,Brightwood EC
Brightwood,2012-0622,Aga inst LEA,Brightwood EC,Brightwood EC
Brightwood,2012-0622,Aga inst LEA,Shaw MS@ Garnet-Patterson,Brightwood EC
Shaw MS@ Garnet -Patterso n,2012-0632,Aga inst LEA,Shaw MS@ Garnet -Patterso n,Shaw M S @ Garnet-Patterson
Shaw MS@ Garnet -Patterso n,2012-0632,Aga inst LEA,Shaw MS@ Garnet-Patterson,Shaw M S @ Garnet-Patterson
Shaw MS@ Garnet -Patterso n,2012-0632,Aga inst LEA,Ma mie 0. Lee School,Shaw M S @ Garnet-Patterson
Shaw MS@ Garnet -Patterso n,2012-0632,Aga inst LEA,Ma mie D. Lee School,Shaw M S @ Garnet-Patterson
Mamie 0. Lee Schoo l,2012-0634,Aga inst LEA,Ma mie D. Lee School,Ballou Senior High Schoo l
Mamie 0. Lee Schoo l,2012-0634,Aga inst LEA,Mamie D. Lee School,Ballou Senior High Schoo l
Mamie 0. Lee Schoo l,2012-0634,Aga inst LEA,Lab Schoo l of Wash ington,Ballou Senior High Schoo l
Lab School of Was hington,2012-0633,Aga inst LEA,Lab Schoo l of Wash ington,Stuar t -Hobson Midd le School
Macfar land Middle,2012-0631,Aga inst LEA,Macfarland M iddle Schoo l,Ronald H. Brow n MS
Roosevelt High School,2012-0630,Aga inst LEA,Roosevelt High School,Roosevelt High School
Roosevelt High School,2012-0630,Aga inst LEA,Mo ten Elemen tary Schoo l @ Wilkins on,Tu rner@ Green Elementary
Turner @ Green Elemen tary Schoo l,2012-0637,Aga inst LEA,Mo ten Elemen tary Schoo l @ Wilkins on,Tu rner@ Green Elementary
Turner @ Green Elemen tary Schoo l,2012-0637,Aga inst LEA,Moten Elementary Schoo l @ Wilkinson,School
Turner @ Green Elemen tary Schoo l,2012-0637,Aga inst LEA,Cardozo High School,School
cardozo High Schoo l,2012-0635,Aga inst LEA,Cardozo High School,cardozo High School
cardozo High Schoo l,...,Aga inst LEA,Cardozo High School,cardozo High School
Peabody Elementary,2012--0638,Aga inst LEA,Cardozo High School,cardozo High School
Peabody Elementary,2012--0638,Aga inst LEA,Hearst Eleme ntary School,cardozo High School
Lab School of Was hington,2012--0639,Aga inst LEA,Hearst Eleme ntary School,Hearst Elementary School
Paul PCS,2012--0648,Aga inst LEA,Hearst Eleme ntary School,LaSalle-Backus EC
Paul PCS,2012--0648,Aga inst LEA,Spingarn Senior High School,LaSalle-Backus EC
Non -Attend,2012--0641,Aga inst LEA,Spingarn Senior High School,Spingarn Senior High School
Non -Attend,2012--0641,""" ""~•--- • - •~""",Spingarn Senior High School,Spingarn Senior High School
Roosevel t High Schoo l,2012--0646,""" ""~•--- • - •~""",Roosevelt High School,Ballou Senior High Schoo l
Bui ldi ng for the Future,2012--0642,Aga inst LEA,Roosevelt High School,Roosevelt High School
Monroe,2012--0645,Aga inst LEA,Mo nroe Schoo l,Roosevelt High School
Monroe,2012--0645,Aga inst LEA,Ballou Senior High School,Roosevelt High School
Ballou Senio r High School,2012--0644,Aga inst LEA,Ballou Senior High School,Ballou Senior High School
Kelly M ill er MS,2012--0647,Aga inst LEA,Kelly M iller MS,Kelly Mille r MS
Dunbar High School,2012--0643,Aga inst LEA,Kelly M iller MS,Kelly Mille r MS
Dunbar High School,2012--0643,Aga inst LEA,Malco lm X ES,Kelly Mille r MS
Malcolm,2012--0650,Expedited Discip line,Malco lm X ES,Kelly Mille r MS
Malcolm,2012--0650,Expedited Discip line,Malco lmX ES,Kelly Mille r MS
Coolidge High Schoo l,2012--0649,Aga inst LEA,Coolidge High School,Cool idge High School
Mon roe School,2012--0653,Aga inst LEA,Mo nroe School,Cool idge High School
Mon roe School,2012--0653,Aga inst LEA,Dunba r High Schoo l,Cool idge High School
Non-Attendi,2012--0651,Expedited Discip line,Dunba r High Schoo l,Dunbar High School
Non-Attendi,2012--0651,Expedited Discip line,Dunbar High Schoo l,Dunbar High School
Non-Attendi,2012--0651,Expedited Discip line,Devereux,Dunbar High School
Devereux,2012--0710,Aga inst LEA,Devereux,Dunbar High School
Devereux,2012--0710,Aga inst LEA,LaSalle-Bac kus EC,Dunbar High School
LaSalle-Backus EC,2012--0654,Aga inst LEA,LaSalle-Bac kus EC,LaSalle-Backus EC
LaSalle-Backus EC,2012--0654,Aga inst LEA,LaSalle-Backus EC,LaSalle-Backus EC
LaSalle-Backus EC,2012--0654,Aga inst LEA,H.D. Woodson Senior High School,LaSalle-Backus EC
Non-Attendi,2012--0656,Aga inst LEA,H.D. Woodson Senior High School,LaSalle-Backus EC
Non-Attendi,2012--0656,Aga inst LEA,Patte rson ES,LaSalle-Backus EC
Patterso n ES,2012--0655,Aga inst LEA,Patt erson ES,Patterso n ES
Patterso n ES,2012--0655,Aga inst LEA,Patterson ES,Patterso n ES
Patterso n ES,2012--0655,Aga inst LEA,Jefferson MS,Patterso n ES
Jefferson,2012--0657,Aga inst LEA,Jefferson MS,Patterso n ES
OC Preparatory,2012-0659,Aga inst LEA,Jefferson MS,Patterso n ES
OC Preparatory,2012-0659,Aga inst LEA,Build ing for the Future,Patterso n ES
Bui ldi ng for the Future,2012-0660,Aga inst LEA,Build ing for the Future,Bui ldi ng for the Futu re
Bui ldi ng for the Future,2012-0660,Aga inst LEA,Buildi ng for the Future,Bui ldi ng for the Futu re
Bui ldi ng for the Future,2012-0660,Aga inst LEA,Anacost ia Sen ior High School,Bui ldi ng for the Futu re
New Beginnings Vocat ional School,2012-066 1,Aga inst LEA,Anaco slia Senior High School,Anacost ia Senior High School
New Beginnings Vocat ional School,2012-066 1,Aga inst LEA,Anacost ia Senior High Schoo l,Anacost ia Senior High School
New Beginnings Vocat ional School,2012-066 1,Aga inst LEA,Village Acade my,Anacost ia Senior High School
Village Academy,2012-0658,Aga inst LEA,Village Acade my,Spingarn Senior High School
Village Academy,2012-0658,Aga inst LEA,Village Academy,Spingarn Senior High School
Monroe,2012-0663,Aga inst LEA,Village Academy,Spingarn Senior High School
Monroe,2012-0663,Aga inst LEA,Ballou Senior High School,Spingarn Senior High School
Non-Attend,2012-0664,Aga inst LEA,Ballou Senior High School,Ballou Senior High Schoo l
Tyler Elementary,2012-0662,Aga inst LEA,Ballou Senior High School,Winsto n EC
Hendley Elementary,2012-0665,Aga inst LEA,Hend ley Elementary School,Hendley Elementary Schoo l
Katheri ne Thomas,2012-0666,Aga inst LEA,Katherine Thomas,Thomas Elemen tary School
Katheri ne Thomas,2012-0666,Aga inst LEA,Tubma n Elementary School,Thomas Elemen tary School
Katheri ne Thomas,2012-0666,Aga inst LEA,Tubman Elementary School,Thomas Elemen tary School
Tubman Elementary,2012-0667,Aga inst LEA,Tubman Elementary School,Thomas Elemen tary School
IDEA,2012-0671,Aga inst LEA,Anacost ia Senior High Schoo l,Anacost ia Senior High School
IDEA,2012-0671,Aga inst LEA,Hend ley Elementary School,Anacost ia Senior High School
Hendley Elemen tary Schoo l,2012-0670,Aga inst LEA,Hend ley Elementary School,Anacost ia Senior High School
Bal lou Senio r High Schoo l,2012-0668,Aga inst LEA,Ballou Senior High School,Anacost ia Senior High Schoo l
Cente r City PCS,2012-0669,Aga inst LEA,Ballou Senior High School,Anacost ia Senior High Schoo l
Cente r City PCS,2012-0669,Aga inst LEA,Kramer Middle School,Anacost ia Senior High Schoo l
Kramer M idd le School,2012-0675,Expedited Discip line,Krame r M idd le School,Anacost ia Senior High Schoo l
Kramer M idd le School,2012-0675,Expedited Discip line,Kramer M iddle School,Anacost ia Senior High Schoo l
Bui ldi ng for the Futu re,2012-0673,Aga inst LEA,Build ing for the Future,Bui ldi ng for the Futu re
Bui ldi ng for the Futu re,2012-0673,Aga inst LEA,Build ing for the Fut ure,Bui ldi ng for the Futu re
Bui ldi ng for the Future,2012-0674,Aga inst LEA,Build ing for the Fut ure,Bui ldi ng for the Futu re
Bui ldi ng for the Future,2012-0674,Aga inst LEA,Build ing for the Future,Bui ldi ng for the Futu re
Kimball Elementary,2012-0672,Aga inst LEA,Kimba ll Elementary School,Bui ldi ng for the Futu re
Kimball Elementary,2012-0672,Aga inst LEA,Shaw MS@ Garnet -Patterson,Bui ldi ng for the Futu re
Shaw MS@ Garnet -Patt erson,2012--0677,Aga inst LEA,Shaw MS@ Garnet -Patterson,Bui ldi ng for the Futu re
Shaw MS@ Garnet -Patt erson,2012--0677,Aga inst LEA,Wilson Senior High School,Bui ldi ng for the Futu re
W ilson Senior High School,2012--0676,09/27/2012,Wilson Senior High School,Wilson Senior High School
The Harbour School,2012--0678,09/27/2012,Kingsbury Day School,Wilson Senior High School
The Harbour School,2012--0678,09/27/2012,Aiton Elementary School,Wilson Senior High School
Aiton Eleme ntary School,2012--0679,09/27/2012,Aiton Elementary School,Wilson Senior High School
Aiton Eleme ntary School,2012--0679,09/27/2012,Non-Attending,Wilson Senior High School
Non-At tend ing,2012-0684,09/27/2012,Non-Attending,Hardy MS@ Hami lton School
Non-At tend ing,2012-0684,09/27/2012,Murch Elementary School,Hardy MS@ Hami lton School
Murc h Elementary School,2012--0682,09/27/2012,Murch Elementary School,Hardy MS@ Hami lton School
Murc h Elementary School,2012--0682,09/27/2012,Mur ch Elementa ry School,Hardy MS@ Hami lton School
Murc h Elementary School,2012--0682,09/27/2012,Ballou Senior High School,Hardy MS@ Hami lton School
Ballou Senior High School,2012--0680,09/27/2012,Ballou Senior High School,Ballou Senior High School
